vendor,mask,slot_index,allowed_chars
V04,A#A#,3,01
V04,A#AA,0,PUW
V04,A#AA,1,123
V04,A#AA,2,O
V04,A#AA,3,O
V04,A-###-A-###,0,S
V04,A-###-A-###,1,-
V04,A-###-A-###,2,6
V04,A-###-A-###,3,7
V04,A-###-A-###,4,34
V04,A-###-A-###,5,-
V04,A-###-A-###,6,A
V04,A-###-A-###,7,-
V04,A-###-A-###,8,0
V04,A-###-A-###,9,0
V04,A-###-A-###,10,25
V04,AA,0,ABCDGHIJKLNPRSTUVWXZ
V04,AA,1,CFGHIJKLOPSTUVZ
V04,AA#,0,LTZ
V04,AA#,1,LPV
V04,AA#,2,0147
V04,AA##,0,BLT
V04,AA##,1,JPRV
V04,AA##,2,2345678
V04,AA##,3,012345679
V04,AA#A,0,T
V04,AA#A,1,P
V04,AA#A,2,57
V04,AA#A,3,OS
V04,AA-####,0,M
V04,AA-####,1,V
V04,AA-####,2,-
V04,AA-####,3,5
V04,AA-####,4,0
V04,AA-####,5,368
V04,AA-####,6,015
V04,AA-##A####-AA#AA-#,0,INW
V04,AA-##A####-AA#AA-#,1,P
V04,AA-##A####-AA#AA-#,2,-
V04,AA-##A####-AA#AA-#,3,5
V04,AA-##A####-AA#AA-#,4,5
V04,AA-##A####-AA#AA-#,5,L
V04,AA-##A####-AA#AA-#,6,0
V04,AA-##A####-AA#AA-#,7,0
V04,AA-##A####-AA#AA-#,8,234
V04,AA-##A####-AA#AA-#,9,238
V04,AA-##A####-AA#AA-#,10,-
V04,AA-##A####-AA#AA-#,11,F
V04,AA-##A####-AA#AA-#,12,D
V04,AA-##A####-AA#AA-#,13,2
V04,AA-##A####-AA#AA-#,14,O
V04,AA-##A####-AA#AA-#,15,S
V04,AA-##A####-AA#AA-#,16,-
V04,AA-##A####-AA#AA-#,17,4
V04,AAA,0,CDEFLMNOPSTUXY
V04,AAA,1,BDEHILMNOPSWXZ
V04,AAA,2,ABCDEFHILMNOPSTVXYZ
V04,AAAA,0,DFIMNRVW
V04,AAAA,1,AEHILOS
V04,AAAA,2,CDEFIOST
V04,AAAA,3,BDEFHJKO
V04,AAAA#.#,0,N
V04,AAAA#.#,1,O
V04,AAAA#.#,2,T
V04,AAAA#.#,3,E
V04,AAAA#.#,4,6
V04,AAAA#.#,5,.
V04,AAAA#.#,6,7
V04,AAAAAAAAA-######,0,FI
V04,AAAAAAAAA-######,1,F
V04,AAAAAAAAA-######,2,IR
V04,AAAAAAAAA-######,3,R
V04,AAAAAAAAA-######,4,O
V04,AAAAAAAAA-######,5,M
V04,AAAAAAAAA-######,6,I
V04,AAAAAAAAA-######,7,F
V04,AAAAAAAAA-######,8,C
V04,AAAAAAAAA-######,9,-
V04,AAAAAAAAA-######,10,12
V04,AAAAAAAAA-######,11,0
V04,AAAAAAAAA-######,12,2
V04,AAAAAAAAA-######,13,0
V04,AAAAAAAAA-######,14,0
V04,AAAAAAAAA-######,15,2
